Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.05     0.00     2751     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  0.00      0.05     0.00     2751     0.00     0.00  std::__detail::_Hashtable_ebo_helper<2, std::__detail::_Mod_range_hashing, true>::_M_cget() const
  0.00      0.05     0.00     2746     0.00     0.00  std::hash<int>::operator()(int) const
  0.00      0.05     0.00     2746     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, std::hash<int>, true>::_M_cget() const
  0.00      0.05     0.00     2744     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::__detail::_Select1st, true>::_M_cget() const
  0.00      0.05     0.00     2734     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::equal_to<int>, true>::_M_cget() const
  0.00      0.05     0.00     2734     0.00     0.00  std::equal_to<int>::operator()(int const&, int const&) const
  0.00      0.05     0.00     2728     0.00     0.00  pxr::gfx::BmpImage::getPixels() const
  0.00      0.05     0.00     2661     0.00     0.00  tinyxml2::XMLUtil::SkipWhiteSpace(char*, int*)
  0.00      0.05     0.00     2627     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, pxr::gfx::Font> >::_M_ptr()
  0.00      0.05     0.00     2627     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, pxr::gfx::Font> >::_M_addr()
  0.00      0.05     0.00     2627     0.00     0.00  std::__detail::_Node_iterator<std::pair<int const, pxr::gfx::Font>, false, false>::_Node_iterator(std::__detail::_Hash_node<std::pair<int const, pxr::gfx::Font>, false>*)
  0.00      0.05     0.00     2627     0.00     0.00  std::__detail::_Node_iterator_base<std::pair<int const, pxr::gfx::Font>, false>::_Node_iterator_base(std::__detail::_Hash_node<std::pair<int const, pxr::gfx::Font>, false>*)
  0.00      0.05     0.00     2627     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<int const, pxr::gfx::Font> >::_M_valptr()
  0.00      0.05     0.00     2625     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<int const, pxr::gfx::Font> >::_M_v()
  0.00      0.05     0.00     2542     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >::operator+=(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00      0.05     0.00     2541     0.00     0.00  bool std::chrono::operator>=<long, std::ratio<1l, 1000000000l>, long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&, std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00      0.05     0.00     2124     0.00     0.00  float const& std::clamp<float>(float const&, float const&, float const&)
  0.00      0.05     0.00     2076     0.00     0.00  pxr::gfx::clearLayer(pxr::gfx::Layer)
  0.00      0.05     0.00     2033     0.00     0.00  pxr::Vector2i::Vector2i(int, int)
  0.00      0.05     0.00     1780     0.00     0.00  tinyxml2::StrPair::StrPair()
